epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.1347,2.21781,4.91894,4.91971,1.98529,0,0,0,0,0,0,0,0,2.63648,4.95794,5.23387,2.45039,5e-06,5e-06,5e-06
2,28.8203,2.2772,4.75952,4.929,2.06897,0,0,0,0,0,0,0,0,2.41569,4.44032,5.02091,2.22599,1.4406e-05,1.4406e-05,1.4406e-05
3,41.9741,2.09549,4.67324,4.59119,1.88366,0.00029,0.00481,0.00017,0.0001,0,0,0,0,2.12885,4.20085,4.74076,1.95789,2.302e-05,2.302e-05,2.302e-05
4,54.6229,2.02273,4.30532,4.34613,1.78695,0.00819,0.11234,0.00837,0.00363,0.00581,0.08333,0.00491,0.00234,1.9768,4.05474,4.28053,1.7458,3.0842e-05,3.0842e-05,3.0842e-05
5,67.277,1.87451,4.06646,4.19252,1.66091,0.00959,0.17201,0.0111,0.00581,0.19492,0.07083,0.00882,0.00517,1.92302,3.90183,4.06711,1.67988,3.7872e-05,3.7872e-05,3.7872e-05
6,80.1906,1.855,3.83305,4.07805,1.66601,0.01231,0.22336,0.01742,0.00982,0.00875,0.15702,0.01391,0.00885,1.859,3.73808,3.87092,1.63136,4.411e-05,4.411e-05,4.411e-05
7,92.9374,1.76761,3.64155,3.91133,1.59807,0.59366,0.05833,0.03062,0.01577,0.01167,0.21952,0.02144,0.01408,1.82386,3.59335,3.84589,1.63055,4.9556e-05,4.9556e-05,4.9556e-05
8,106.384,1.74026,3.59629,3.71702,1.57071,0.31762,0.10777,0.05171,0.03627,0.31762,0.10777,0.04728,0.03115,1.71044,3.48435,4.03676,1.56825,5.421e-05,5.421e-05,5.421e-05
9,119.915,1.69901,3.45651,3.58948,1.52202,0.22566,0.24229,0.08231,0.05842,0.50931,0.13047,0.07882,0.05084,1.66846,3.406,4.33279,1.52157,5.8072e-05,5.8072e-05,5.8072e-05
10,132.967,1.65574,3.33203,3.38135,1.52111,0.53069,0.21525,0.10753,0.07408,0.52521,0.21056,0.09657,0.06187,1.63973,3.36652,4.92583,1.50018,6.1142e-05,6.1142e-05,6.1142e-05
11,146.574,1.58526,3.23543,3.17382,1.45109,0.63261,0.17762,0.14509,0.10562,0.63261,0.17762,0.14992,0.08968,1.62449,3.30303,5.48564,1.49063,6.342e-05,6.342e-05,6.342e-05
12,159.829,1.56728,3.10125,2.97222,1.46039,0.63261,0.17762,0.14509,0.10562,0.63261,0.17762,0.14992,0.08968,1.62449,3.30303,5.48564,1.49063,6.4906e-05,6.4906e-05,6.4906e-05
13,172.986,1.57174,3.16904,2.80245,1.41817,0.63079,0.23859,0.19682,0.13768,0.6184,0.23006,0.17241,0.10098,1.56912,3.23291,5.4369,1.44252,6.56e-05,6.56e-05,6.56e-05
14,186.232,1.47457,2.94122,2.73207,1.38604,0.64868,0.25602,0.2551,0.16025,0.71885,0.17561,0.22552,0.13325,1.52722,3.15541,5.02436,1.41113,6.5502e-05,6.5502e-05,6.5502e-05
15,199.779,1.47393,2.9913,2.53968,1.40175,0.64868,0.25602,0.2551,0.16025,0.71885,0.17561,0.22552,0.13325,1.52722,3.15541,5.02436,1.41113,6.4612e-05,6.4612e-05,6.4612e-05
