epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.9246,2.20284,4.71555,5.03139,1.9926,4e-05,0.00781,2e-05,0,0,0,0,0,2.64101,5.01777,5.43958,2.46065,5e-06,5e-06,5e-06
2,60.8822,2.07288,4.55642,4.85037,1.9321,4e-05,0.00781,2e-05,0,0,0,0,0,2.4119,4.45863,5.2199,2.22355,1.49406e-05,1.49406e-05,1.49406e-05
3,86.7136,2.03871,4.37031,4.67774,1.82918,0.00023,0.01198,0.00013,3e-05,4e-05,0.00781,2e-05,0,2.14921,4.21779,4.8569,1.95413,2.4802e-05,2.4802e-05,2.4802e-05
4,112.79,1.78845,3.8772,4.38876,1.68754,0.01152,0.12696,0.00861,0.00465,0.00932,0.09102,0.00717,0.00398,1.92056,4.06706,4.45833,1.73693,3.45842e-05,3.45842e-05,3.45842e-05
5,139.39,1.77578,3.73643,4.14683,1.63711,0.14233,0.1994,0.02289,0.01381,0.2089,0.08655,0.02031,0.01337,1.73598,3.8263,4.14083,1.6055,4.42872e-05,4.42872e-05,4.42872e-05
6,166.146,1.64114,3.48565,3.84114,1.51584,0.26226,0.17049,0.09449,0.07174,0.33461,0.10884,0.06006,0.03162,1.63832,3.6611,4.30725,1.5029,5.3911e-05,5.3911e-05,5.3911e-05
7,193.134,1.57995,3.446,3.49622,1.48875,0.30659,0.22307,0.14104,0.10853,0.46568,0.09797,0.08134,0.04478,1.51766,3.45343,5.14242,1.43731,6.34556e-05,6.34556e-05,6.34556e-05
8,219.705,1.5379,3.16702,3.0833,1.42051,0.35994,0.16884,0.15686,0.12273,0.4721,0.09846,0.08676,0.04744,1.3591,3.30308,6.24648,1.31548,7.2921e-05,7.2921e-05,7.2921e-05
9,246.843,1.42006,2.90925,2.69265,1.33471,0.50389,0.19545,0.16475,0.12665,0.43488,0.13887,0.11265,0.05442,1.29975,3.28583,6.57021,1.25921,8.23072e-05,8.23072e-05,8.23072e-05
10,274.507,1.38753,2.91135,2.53106,1.33082,0.64175,0.19767,0.1867,0.1404,0.56451,0.15539,0.13034,0.06394,1.29348,3.26473,6.23963,1.23369,9.16142e-05,9.16142e-05,9.16142e-05
11,301.789,1.41904,2.96042,2.33735,1.31273,0.57091,0.20253,0.19178,0.13854,0.57707,0.15819,0.14124,0.06627,1.27967,3.22696,5.90276,1.21622,0.000100842,0.000100842,0.000100842
12,329.582,1.37525,2.85569,2.23082,1.29526,0.4567,0.23618,0.21732,0.16082,0.39749,0.19903,0.1679,0.08779,1.29425,3.18626,5.64998,1.21328,0.000109991,0.000109991,0.000109991
13,357.698,1.33306,2.81767,2.03635,1.27219,0.43687,0.21425,0.19889,0.14468,0.37426,0.18111,0.15319,0.07746,1.27719,3.13845,5.38906,1.20486,0.00011906,0.00011906,0.00011906
14,385.63,1.23831,2.63375,1.78553,1.21925,0.42809,0.23257,0.21904,0.16191,0.41284,0.20151,0.16357,0.09106,1.2671,3.07048,5.01355,1.20136,0.00012805,0.00012805,0.00012805
15,413.575,1.27609,2.53527,1.77032,1.26925,0.28481,0.30819,0.22082,0.16539,0.39286,0.20375,0.17082,0.09863,1.24392,3.00654,4.4743,1.1878,0.000136961,0.000136961,0.000136961
16,441.405,1.32257,2.63476,1.72568,1.27725,0.45639,0.2463,0.2348,0.16575,0.38465,0.24963,0.20107,0.11461,1.24946,2.94359,4.04222,1.19156,0.000145793,0.000145793,0.000145793
17,469.234,1.25428,2.51111,1.5869,1.17934,0.30254,0.34291,0.26741,0.17758,0.45576,0.23231,0.23293,0.12611,1.2528,2.89433,3.6583,1.19151,0.000154546,0.000154546,0.000154546
18,496.477,1.22601,2.37747,1.54933,1.22347,0.31933,0.33692,0.29446,0.20403,0.23451,0.30694,0.24468,0.13661,1.24493,2.88369,3.36669,1.17737,0.000163219,0.000163219,0.000163219
19,523.827,1.21719,2.31226,1.45372,1.19658,0.46103,0.37314,0.38282,0.28061,0.37168,0.36598,0.31177,0.17499,1.23942,2.81711,3.01132,1.17553,0.000171813,0.000171813,0.000171813
